ID	InputText	Entity	EntityLabel	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.Synonyms	UMLS.Score	Document
QqeAQSBdbB	A Pediatrician ’ s guide to climate Change-Informed primary care Rebecca pass Philipsborn, Md, Mpa, Ajulia Cowenhoven, Md, Baparna Bole, Md, C Sophie J balk, Md, Dand Aaron Bernstein, Md, Mphe, * despite the urgency of the climate crisis and mounting evidence linking climate change to child health Harms, Pediatricians do not routinely engage with climate change in the Ofﬁce . Each primary care visit offers opportunities to screen for and support children burdened with risks to health that are increasingly intense due to climate change . routine promotion of healthy behaviors also Aligns with some needed —And Powerful—Solutions to the climate crisis . for some patients, including those engaged in athletics, those with asthma and allergies, or those with complex Healthcare needs, Prepared-	asthma	DISEASE	C0004096	Asthma	A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL).	T047	Disease or Syndrome	asthmatics, asthmatic, ASTHMA, Bronchial asthma, NOS, Asthma, Asthma, Bronchial, Airway hyperreactivity, ASTHMA BRONCHIAL, ASTHMA, BRONCHIAL, Asthma, unspecified, asthma disorders, br asthma, Asthmas, Bronchial Asthma, Asthmatic, Bronchial asthma, asthma, Asthma (disorder), Asthma, NOS, BRONCHIAL ASTHMA, bronchial asthma, bronchitic asthma	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
QqeAQSBdbB	A Pediatrician ’ s guide to climate Change-Informed primary care Rebecca pass Philipsborn, Md, Mpa, Ajulia Cowenhoven, Md, Baparna Bole, Md, C Sophie J balk, Md, Dand Aaron Bernstein, Md, Mphe, * despite the urgency of the climate crisis and mounting evidence linking climate change to child health Harms, Pediatricians do not routinely engage with climate change in the Ofﬁce . Each primary care visit offers opportunities to screen for and support children burdened with risks to health that are increasingly intense due to climate change . routine promotion of healthy behaviors also Aligns with some needed —And Powerful—Solutions to the climate crisis . for some patients, including those engaged in athletics, those with asthma and allergies, or those with complex Healthcare needs, Prepared-	allergies	DISEASE	C0020517	Hypersensitivity	Altered reactivity to an antigen, which can result in pathologic reactions upon subsequent exposure to that particular antigen.	T046	Pathologic Function	Allergic reaction, Sensitivity, hypersensitivity, Hypersensitivity NOS, Hypersensitivity reaction, Allergic state, Hypersensitivities, HYPERSENSITIVITY, Hypersensitive, hypersensitivities, Allergic reaction caused by substance, hypersensitivity symptoms, REACTION ALLERGIC (NOS), allergic disorders, hypersensitivity reactions, Allergy, NOS, ALLERGY, allergic reaction, ALLERGIC/HYPERSENSITIVITY, allergic reactions, Allergic reaction caused by substance (disorder), hypersensitivity reaction, Allergies, Allergic reaction, NOS, Allergy/allergic reaction NOS, allergy disorders, Allergic reaction to substance, HYSN, ALLERGIC REACTION, Hypersensitivity, Allergic state, NOS, Allergic disorders, REACTION HYPERSENSITIVITY (NOS), hypersensitivity symptom, Hypersensitivity reaction (disorder), Hypersensitivity reaction, NOS, allergy, Allergic reaction NOS, allergic disorder, Allergy, ALLERGIC REACTION (NOS), HYPERSENSITIVITY REACTION (NOS), allergies	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
jVsbi7qH3G	Ness for environmental risks and disasters worsened by Cli-Mate change is a critical component of disease Preventionand management . for all patients, anticipatory guidance topics that are already mainstays of Pediatric best practices are related closely to needed guidance to keep children safe and promote health in the setting of compounding risks due Toclimate change . by considering climate change in routine care, Pediatricians will be updating practice to align with Evidence-Based literature and better serving patients . This Articleprovides a framework for Pediatricians to provide Climate-Informed primary care during t he structure of Pediatric well child and other visits . Curr probl Pediatr Adolesc health care 2021; 51:101027 in the course of daily practice, Pediatricians are	Cli-Mate	CHEMICAL								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
WkrfpFQpho	Well-Poised to reduce Harms to our patients and to promote health equity Inresponding to the climate crisis . The climate crisis poses risks to the health and well-being of every child . 1,2Those children already burdened by structural racism and poverty are at greater risk of worse health Outcomes.3,4Climateaction—Reducing greenhouse gas emissions and preparing for climate Change—Supports optimal child health, growth, and development, now and in Thefuture, and is closely linked with racial justice . 5However, conversations about climate change and child health are neither part of Standard Pediatric practice nor occurring with the frequency demanded by the climate crisis . Though trusted health educators and advocates for children, Pediatricians may feel a Disconnect between										/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
8NCz9YBtv2	Daily practice and the climate Crisis.6This article provides a practical approach for connecting climate change with health in primary care Pediatrics, including recommendations from the American Academy of Pediatrics (AAP) policy statement on climate change and children ’ s Health.1 there is little debate among scientists and health professionals that climate change is the result of unsustainable human activity and that the implications for human health are Profound.7In 2017, global temperatures reached 1˚C warming above Pre-Industrial Levels.8Scientists advise that greenhouse gas emissions must be reduced by 45% below 2010 levels by 2030, and that we must have a “ net zero ” planet by 2050, to avoid consequences that are potentially Catastroph IC and irreversible.	AAP	CHEMICAL								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
gbSbTRiDfX	8This Changefrom Theadivision of General Pediatrics and Gangarosa Department of environmental health, Emory University, and children ’ s Healthcare of Atlanta, Atlanta, Ga, United States; Bdepartment of medicine, Boston children's hospital, Department of Pediatrics, Harvard medical school, and Department of Pediatrics, Boston University, 401 park drive, 4TH floor West, Boston, Ma 02215, United States; Cdivision of General academic Pediatrics, Uh Rainbow babies & children's hospital, Department of Pediatrics, case Western Reserve University school of medicine, Cleveland, Oh, United States; Ddivision of academic general Pediatrics, children's hospital at Monteﬁore, Albert Einstein college of medicine, Bronx, NY, United States; Andedivision of General Pediatrics, Boston	Ga	CHEMICAL	C0002915	General Anesthesia	Procedure in which patients are induced into an unconscious state through use of various medications so that they do not feel pain during surgery.	T061	Therapeutic or Preventive Procedure	ga, General anaesthesia, GA - General anaesthetic, general anaesthetic, ANESTHESIA GENERAL, general anesthesia procedure, GA - General anesthetic, General anesthesia, General anesthesia (procedure), General Anesthesia, General Anesthesias, General anaesthesia, NOS, Anesthesia, General, General anaesthetic, General Anesthesia Procedure, general anaesthesia, General anesthetic, Anesthesias, General, general anesthetic, general anesthesia, anaesthetic general, General anesthesia, NOS	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
kSRpbNBAu7	Children ’ s hospital, center for climate, health and the global environment, Harvard T.H . Chan school of public health, Boston, Ma and Harvard global health Institute, Cambridge, Ma, United States . * corresponding author . E-mail: Aaron_Bernstein @ Hms.Harvard.Edu Curr probl Pediatr Adolesc health care 2021; 51:101027 1538-5442/ $- see front matter /C2112021 Elsevier Inc. all rights reserved . Https: //Doi.Org/10.1016/J.Cppeds.2021.101027In the course of daily practice, Pediatricians are Well-Poised to reduce Harms to our patients and to promote health equity in responding to the climate crisis . Curr probl Pediatr Adolesc health care, June 2021 1										/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
JitFBkGtyS	Necessitates urgently reducing greenhouse gas emissions and adapting our routines and our infrastructure, including Healthcare infrastructure, to the current climate Reality.9Both are essential to child health and equity . climate Change-Driven health Harms affect every organ System.8,10Many health promotion behaviors emphasized at well child visits, such as healthy diets, are part of the solution to climate Change.11Nevertheless, health professionals ’ perceived barriers to discussing climate change include time constraints, a lack of personal knowledge or training, perception that climate change is controversial, and that discussing it with patients would not make a Difference.12Integrating climate change into the basic components of a	Change.11Nevertheless	DISEASE								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
j4jE6Ssgei	Well-Child check and other visits addresses many of these barriers . This feasible and adaptable model gives Pediatricians a tool to support child health and wellness in the climate crisis . climate action and patient care by incorporating climate change into the Flow of the well child visit, primary care Pediatricians can identify children at risk of harmful exposures, enhance wellness promotion, and prepare children and their families to protect their health in the climate crisis (Fig.). These connections Fit within the bright futures health promotion themes that Pediatricians already integrate Intopractice, including healthy nutrition, physical activity, mental health, and attention to special Healthcare Needs.13Climate Change-Informed screening questions										/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
sVNwJ4c3mq	Can be included alongside existing Patient-Facing Ques-Tionnaires or Pre-Visit forms . Age-Speciﬁc anticipatory guidance topics offer many Touchpoints for safeguarding child health from climate risks . Clinicians can directly use or adapt available resources (e.g., handouts available Online or referrals to Clinicians with Speciﬁc expertise) that address common concerns (e.g., food insecurity, water quality, energy insecurity and disaster preparedness) that may increase with climate change . the table outlines components of Pediatric primary care visits, climate and health relevance, and discussion points or written resources . triage and screening: environmental determinants of health global climate change is a major determinant of child										/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
