ID	InputText	Entity	EntityLabel	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.Synonyms	UMLS.Score
VVwVf5NbBJ	Acanthamoeba infection	Acanthamoeba infection	ENTITY	C0033129	Acanthamoeba Infection		T047	Disease or Syndrome	Acanthamoeba Infections, Infection by Acanthamoeba, NOS, Infection caused by Acanthamoeba (disorder), Acanthamoeba infection, acanthamebiasis, Infection, Acanthamoeba, Acanthamebiasis, Acanthamoebosis, Infection caused by Acanthamoeba, Acanthamebiases, Acanthamoebiasis, Infection by Acanthamoeba	1.0
gnVN94W7Xw	Acinetobacter	Acinetobacter	ENTITY	C0001138	Acinetobacter	A genus of gram-negative bacteria of the family MORAXELLACEAE, found in soil and water and of uncertain pathogenicity.	T007	Bacterium	Acinetobacter, Acinetobacter, NOS, Genus Acinetobacter, Genus Acinetobacter (organism), acinetobacter, ACINETOBACTER	1.0
WkJriLogn6	Acrodermatitis Chronica Atrophicans	Acrodermatitis Chronica	ENTITY	C0263421	Acrodermatitis atrophicans chronica		T047	Disease or Syndrome	Dermatitis atrophicans, Acrodermatitis chronica atrophicans, Acrodermatitis atrophicans chronica (disorder), Acrodermatitis atrophicans chronica, Dermatitis chronica atrophicans	0.814
WkJriLogn6	Acrodermatitis Chronica Atrophicans	Atrophicans	ENTITY	C0151514	Atrophic condition of skin	The degeneration and thinning of the epidermis and dermis. It is usually a manifestation of aging.	T047	Disease or Syndrome	Atrophy of Skin, ATROPHY SKIN, skin atrophy, Atrophic Skin, Atrophoderma, Atrophic skin, Atrophic condition of skin, Skin Atrophy, Skin atrophy, Skin degeneration, Atrophic, Atrophoderma, NOS, Atrophic condition of skin (disorder), Dermal atrophy, atrophic skin, SKIN ATROPHY, Atrophy of skin, Atrophy of skin, NOS, Atrophic condition of skin, NOS	0.798
TB9hZZUyEJ	Actinomycosis	Actinomycosis	ENTITY	C0001261	Actinomycosis	Infections with bacteria of the genus ACTINOMYCES.	T047	Disease or Syndrome	Actinomycotic infection, Infection, Actinomyces, Actinomycosis, Actinomycotic infection of unspecified site, ACTINOMYCOTIC INFECTIONS, Actinomyces Infection, Actinomycosis NOS, actinomyces infection, actinomycosis, Actinomyces Infections, ACTINOMYCOSIS, Actinomycotic infection (disorder), Actinomycosis, NOS, actinomycoses, actinomycotic infection, Infections, Actinomyces, Actinomycotic infection, NOS, Actinomycoses, Actinomycotic infections	1.0
4haBrGb8rk	Acute disseminated Encephalomyelitis	Acute disseminated Encephalomyelitis	ENTITY	C0014059	Encephalomyelitis, Acute Disseminated	An acute or subacute inflammatory process of the CENTRAL NERVOUS SYSTEM characterized histologically by multiple foci of perivascular demyelination. Symptom onset usually occurs several days after an acute viral infection or immunization, but it may coincide with the onset of infection or rarely no antecedent event can be identified. Clinical manifestations include CONFUSION, somnolence, FEVER, nuchal rigidity, and involuntary movements. The illness may progress to COMA and eventually be fatal. (Adams et al., Principles of Neurology, 6th ed, p921)	T047	Disease or Syndrome	ADEM, Acute Disseminated Encephalomyelitis, Disseminated Encephalomyelitis, Acute, Acute disseminated encephalitis, ENCEPHALOMYELITIS, DISSEMINATED, ACUTE, MYELINOCLASIS, PERIVASCULAR, ACUTE, Encephalomyelitis, Acute Disseminated, ADEM - Acute disseminated encephalomyelitis, Acute Disseminated Encephalomyelitides, Acute disseminated encephalomyelitis, Acute disseminated encephalomyelitis (disorder)	1.0
Z55fNMZVbH	Acute Rhinosinusitis Empiric therapy	Acute Rhinosinusitis	ENTITY	C2317131	Acute rhinosinusitis		T047	Disease or Syndrome	Acute rhinosinusitis (disorder)	1.0
Z55fNMZVbH	Acute Rhinosinusitis Empiric therapy	Empiric therapy	ENTITY							
8Z5phfP2eD	Acute Rhinosinusitis Organism-Specific therapy	Acute Rhinosinusitis	ENTITY	C2317131	Acute rhinosinusitis		T047	Disease or Syndrome	Acute rhinosinusitis (disorder)	1.0
8Z5phfP2eD	Acute Rhinosinusitis Organism-Specific therapy	Organism-Specific therapy	ENTITY							
X4H7jUCFyY	Acute Sinusitis	Acute	ENTITY	C0205178	acute	Having a severe and rapid onset of symptoms with short duration.	T079	Temporal Concept	acute, Acuteness (qualifier value), Acute, Acuteness, Acute onset, ACUTE	1.0
id6MXgNPdg	Acute and chronic inflammatory Demyelinating Polyneuropathy in HIV	Acute	ENTITY	C0205178	acute	Having a severe and rapid onset of symptoms with short duration.	T079	Temporal Concept	acute, Acuteness (qualifier value), Acute, Acuteness, Acute onset, ACUTE	1.0
id6MXgNPdg	Acute and chronic inflammatory Demyelinating Polyneuropathy in HIV	chronic inflammatory Demyelinating Polyneuropathy	ENTITY	C0393819	Polyradiculoneuropathy, Chronic Inflammatory Demyelinating	A slowly progressive autoimmune demyelinating disease of peripheral nerves and nerve roots. Clinical manifestations include weakness and sensory loss in the extremities and enlargement of peripheral nerves. The course may be relapsing-remitting or demonstrate a step-wise progression. Protein is usually elevated in the spinal fluid and cranial nerves are typically spared. GUILLAIN-BARRE SYNDROME features a relatively rapid progression of disease which distinguishes it from this condition. (Adams et al., Principles of Neurology, 6th ed, p1337)	T047	Disease or Syndrome	Inflammatory Polyradiculopathy, Chronic, Chronic inflammatory demyelinating polyradiculoneuropathy (disorder), chronic inflammatory demyelinating polyradiculoneuropathy (CIDP), Chronic Inflammatory Polyradiculoneuropathy, Chronic Inflammatory Polyradiculopathy, Polyradiculopathies, Chronic Inflammatory, Chronic Inflammatory Polyradiculoneuropathies, CIDP, Chronic inflammatory demyelinating polyneuritis, Polyneuropathy, Inflammatory Demyelinating, Chronic, Chronic Inflammatory Polyradiculopathies, Inflammatory Polyradiculopathies, Chronic, Polyradiculoneuropathy, Chronic Inflammatory, Chronic inflammatory demyelinating polyneuropathy, Chronic Inflammatory Demyelinating Polyneuropathy, POLYNEUROPATHY, INFLAMMATORY DEMYELINATING, CHRONIC, Polyradiculoneuropathies, Chronic Inflammatory, Inflammatory Polyradiculoneuropathy, Chronic, Chronic inflammatory demyelinating polyradiculoneuropathy, Inflammatory Polyradiculoneuropathies, Chronic, CIDP - Chronic inflammatory demyelinating polyneuropathy, Polyradiculopathy, Chronic Inflammatory, CIDP - Chronic inflammatory demyelinating polyradiculoneuropathy, Chronic Inflammatory Demyelinating Polyradiculoneuropathy, cidp, Polyradiculoneuropathy, Chronic Inflammatory Demyelinating	1.0
id6MXgNPdg	Acute and chronic inflammatory Demyelinating Polyneuropathy in HIV	HIV	ENTITY	C0019682	HIV	Human immunodeficiency virus. A non-taxonomic and historical term referring to any of two species, specifically HIV-1 and/or HIV-2. Prior to 1986, this was called human T-lymphotropic virus type III/lymphadenopathy-associated virus (HTLV-III/LAV). From 1986-1990, it was an official species called HIV. Since 1991, HIV was no longer considered an official species name; the two species were designated HIV-1 and HIV-2.	T005	Virus	Immunodeficiency Viruses, Human, HTLV III, HTLV-III, Human immunodeficiency virus, LAV-HTLV-III, LAV, Lymphadenopathy Associated Virus, Viruses, AIDS, Lymphadenopathy-Associated Virus, Virus-HIV, Lymphadenopathy-Associated Viruses, Viruses, Human Immunodeficiency, Virus, Lymphadenopathy-Associated, AIDS Viruses, AIDS Virus, Immunodeficiency Virus, Human, Virus, AIDS, Human T Cell Lymphotropic Virus Type III, Human immunodeficiency virus, NOS, human immunodeficiency virus (HIV), Human T-Lymphotropic Virus Type III, HIV - Human immunodeficiency virus, Human Immunodeficiency Viruses, Human T-Cell Lymphotropic Virus Type III, human immunodeficiency virus, Human T-Cell Leukemia Virus Type III, lymphadenopathy associated virus, Acquired Immunodeficiency Syndrome Virus, htlv-iii, Viruses, Lymphadenopathy-Associated, Acquired Immune Deficiency Syndrome Virus, Virus, Human Immunodeficiency, Human Immunodeficiency Virus, Human T Lymphotropic Virus Type III, Human immunodeficiency virus (organism), AIDS virus, Human T Cell Leukemia Virus Type III, Human immunodeficiency virus (HIV), HIV, htlv iii	1.0
