InputID	InputText	Entity	EntityType	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.Synonyms	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.MappingScore
JJVuht3WUz	Adenovirus	Adenovirus	ORGANISM	C0001483	Adenoviruses	A family of non-enveloped viruses infecting mammals (MASTADENOVIRUS) and birds (AVIADENOVIRUS) or both (ATADENOVIRUS). Infections may be asymptomatic or result in a variety of diseases.	Family Adenoviridae (organism), ADENOVIRUS GROUP, ADENOVIRUS, adenoviruses, Adenoviruses, adenovirus, Adenovirus, NOS, adenoviridae, ADV, Adenoviridae, Adenovirus, Adenovirus group, NOS, Adenoviral, Adenovirus group, Family Adenoviridae, adenoviral	T005	Virus	1.0
zJjQrYfW6Q	Alveolar Echinococcosis (Ae)	Alveolar	MULTI_TISSUE_STRUCTURE	C1440080	Alveolar	Of or relating to the alveoli.	Alveolar	T023	Body Part, Organ, or Organ Component	1.0
BhNeUFboAV	Amebic Liver/Hepatic abscesses	Liver/Hepatic abscesses	PATHOLOGICAL_FORMATION	C0023885	Liver Abscess	Solitary or multiple collections of PUS within the liver as a result of infection by bacteria, protozoa, or other agents.	abscess liver, Hepatic abscess, Liver--Abscess, abscesses hepatic, Abscess of liver, Liver Abscesses, Abscess of liver (disorder), abscessed liver, Hepatic Abscess, of liver abscess, Abscesses, Hepatic, Hepatic Abscesses, LIVER ABSCESS, Hepatic abscess, NOS, Abscesses, Liver, abscess hepatic, Abscess, Hepatic, Abscess, Liver, Liver Abscess, Liver abscess, Abscess of liver, NOS, abscess of liver, hepatic abscess, liver abscess, liver abscesses	T047	Disease or Syndrome	0.716
izZGi3ULDg	Anthrax	Anthrax	ORGANISM	C0003175	Anthrax disease	An acute infection caused by the spore-forming bacteria BACILLUS ANTHRACIS. It commonly affects hoofed animals such as sheep and goats. Infection in humans often involves the skin (cutaneous anthrax), the lungs (inhalation anthrax), or the gastrointestinal tract. Anthrax is not contagious and can be treated with antibiotics.	Infection due to Bacillus anthracis, Anthrax, NOS, Bacillus anthracis Infections, CHARBON, anthrax, charbon, FEVER, SPLENIC, MILZBRAND, Anthrax (disorder), Anthrax, unspecified, anthrax disease, Splenic fever, Anthrax, Milzbrand, SPLENIC FEVER, ANTHRAX, Bacillus anthracis Infection, Charbon, splenic fever	T047	Disease or Syndrome	1.0
MSTyZ6Fp4K	Antiretroviral therapy (art) in adolescents and young adults with HIV infection	HIV	ORGANISM	C0019682	HIV	Human immunodeficiency virus. A non-taxonomic and historical term referring to any of two species, specifically HIV-1 and/or HIV-2. Prior to 1986, this was called human T-lymphotropic virus type III/lymphadenopathy-associated virus (HTLV-III/LAV). From 1986-1990, it was an official species called HIV. Since 1991, HIV was no longer considered an official species name; the two species were designated HIV-1 and HIV-2.	Immunodeficiency Viruses, Human, HTLV III, HTLV-III, Human immunodeficiency virus, LAV-HTLV-III, LAV, Lymphadenopathy Associated Virus, Viruses, AIDS, Lymphadenopathy-Associated Virus, Virus-HIV, Lymphadenopathy-Associated Viruses, Viruses, Human Immunodeficiency, Virus, Lymphadenopathy-Associated, AIDS Viruses, AIDS Virus, Immunodeficiency Virus, Human, Virus, AIDS, Human T Cell Lymphotropic Virus Type III, Human immunodeficiency virus, NOS, human immunodeficiency virus (HIV), Human T-Lymphotropic Virus Type III, HIV - Human immunodeficiency virus, Human Immunodeficiency Viruses, Human T-Cell Lymphotropic Virus Type III, human immunodeficiency virus, Human T-Cell Leukemia Virus Type III, lymphadenopathy associated virus, Acquired Immunodeficiency Syndrome Virus, htlv-iii, Viruses, Lymphadenopathy-Associated, Acquired Immune Deficiency Syndrome Virus, Virus, Human Immunodeficiency, Human Immunodeficiency Virus, Human T Lymphotropic Virus Type III, Human immunodeficiency virus (organism), AIDS virus, Human T Cell Leukemia Virus Type III, Human immunodeficiency virus (HIV), HIV, htlv iii	T005	Virus	1.0
Sp9VxKnbrf	Antiretroviral therapy (art) in pregnant people with HIV infection	people	ORGANISM	C0027361	Persons	Persons as individuals (e.g., ABORTION APPLICANTS) or as members of a group (e.g., HISPANIC AMERICANS). It is not used for members of the various professions (e.g., PHYSICIANS) or occupations (e.g., LIBRARIANS) for which OCCUPATIONAL GROUPS is available.	people, Persons, peoples, Person, Person (person), People, Individual, person, persons	T098	Population Group	1.0
Sp9VxKnbrf	Antiretroviral therapy (art) in pregnant people with HIV infection	HIV	ORGANISM	C0019682	HIV	Human immunodeficiency virus. A non-taxonomic and historical term referring to any of two species, specifically HIV-1 and/or HIV-2. Prior to 1986, this was called human T-lymphotropic virus type III/lymphadenopathy-associated virus (HTLV-III/LAV). From 1986-1990, it was an official species called HIV. Since 1991, HIV was no longer considered an official species name; the two species were designated HIV-1 and HIV-2.	Immunodeficiency Viruses, Human, HTLV III, HTLV-III, Human immunodeficiency virus, LAV-HTLV-III, LAV, Lymphadenopathy Associated Virus, Viruses, AIDS, Lymphadenopathy-Associated Virus, Virus-HIV, Lymphadenopathy-Associated Viruses, Viruses, Human Immunodeficiency, Virus, Lymphadenopathy-Associated, AIDS Viruses, AIDS Virus, Immunodeficiency Virus, Human, Virus, AIDS, Human T Cell Lymphotropic Virus Type III, Human immunodeficiency virus, NOS, human immunodeficiency virus (HIV), Human T-Lymphotropic Virus Type III, HIV - Human immunodeficiency virus, Human Immunodeficiency Viruses, Human T-Cell Lymphotropic Virus Type III, human immunodeficiency virus, Human T-Cell Leukemia Virus Type III, lymphadenopathy associated virus, Acquired Immunodeficiency Syndrome Virus, htlv-iii, Viruses, Lymphadenopathy-Associated, Acquired Immune Deficiency Syndrome Virus, Virus, Human Immunodeficiency, Human Immunodeficiency Virus, Human T Lymphotropic Virus Type III, Human immunodeficiency virus (organism), AIDS virus, Human T Cell Leukemia Virus Type III, Human immunodeficiency virus (HIV), HIV, htlv iii	T005	Virus	1.0
TcX7tPKQSg	Antiretroviral therapy (art) in Treatment-Naive patients with HIV infection	patients	ORGANISM	C0030705	Patients	Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.	patients, patient, Patient, Patient (person), *^patient, ^Patient, Patients	T101	Patient or Disabled Group	1.0
TcX7tPKQSg	Antiretroviral therapy (art) in Treatment-Naive patients with HIV infection	HIV	ORGANISM	C0019682	HIV	Human immunodeficiency virus. A non-taxonomic and historical term referring to any of two species, specifically HIV-1 and/or HIV-2. Prior to 1986, this was called human T-lymphotropic virus type III/lymphadenopathy-associated virus (HTLV-III/LAV). From 1986-1990, it was an official species called HIV. Since 1991, HIV was no longer considered an official species name; the two species were designated HIV-1 and HIV-2.	Immunodeficiency Viruses, Human, HTLV III, HTLV-III, Human immunodeficiency virus, LAV-HTLV-III, LAV, Lymphadenopathy Associated Virus, Viruses, AIDS, Lymphadenopathy-Associated Virus, Virus-HIV, Lymphadenopathy-Associated Viruses, Viruses, Human Immunodeficiency, Virus, Lymphadenopathy-Associated, AIDS Viruses, AIDS Virus, Immunodeficiency Virus, Human, Virus, AIDS, Human T Cell Lymphotropic Virus Type III, Human immunodeficiency virus, NOS, human immunodeficiency virus (HIV), Human T-Lymphotropic Virus Type III, HIV - Human immunodeficiency virus, Human Immunodeficiency Viruses, Human T-Cell Lymphotropic Virus Type III, human immunodeficiency virus, Human T-Cell Leukemia Virus Type III, lymphadenopathy associated virus, Acquired Immunodeficiency Syndrome Virus, htlv-iii, Viruses, Lymphadenopathy-Associated, Acquired Immune Deficiency Syndrome Virus, Virus, Human Immunodeficiency, Human Immunodeficiency Virus, Human T Lymphotropic Virus Type III, Human immunodeficiency virus (organism), AIDS virus, Human T Cell Leukemia Virus Type III, Human immunodeficiency virus (HIV), HIV, htlv iii	T005	Virus	1.0
B4U5UNbQTx	Antiretroviral therapy for HIV infection	HIV	ORGANISM	C0019682	HIV	Human immunodeficiency virus. A non-taxonomic and historical term referring to any of two species, specifically HIV-1 and/or HIV-2. Prior to 1986, this was called human T-lymphotropic virus type III/lymphadenopathy-associated virus (HTLV-III/LAV). From 1986-1990, it was an official species called HIV. Since 1991, HIV was no longer considered an official species name; the two species were designated HIV-1 and HIV-2.	Immunodeficiency Viruses, Human, HTLV III, HTLV-III, Human immunodeficiency virus, LAV-HTLV-III, LAV, Lymphadenopathy Associated Virus, Viruses, AIDS, Lymphadenopathy-Associated Virus, Virus-HIV, Lymphadenopathy-Associated Viruses, Viruses, Human Immunodeficiency, Virus, Lymphadenopathy-Associated, AIDS Viruses, AIDS Virus, Immunodeficiency Virus, Human, Virus, AIDS, Human T Cell Lymphotropic Virus Type III, Human immunodeficiency virus, NOS, human immunodeficiency virus (HIV), Human T-Lymphotropic Virus Type III, HIV - Human immunodeficiency virus, Human Immunodeficiency Viruses, Human T-Cell Lymphotropic Virus Type III, human immunodeficiency virus, Human T-Cell Leukemia Virus Type III, lymphadenopathy associated virus, Acquired Immunodeficiency Syndrome Virus, htlv-iii, Viruses, Lymphadenopathy-Associated, Acquired Immune Deficiency Syndrome Virus, Virus, Human Immunodeficiency, Human Immunodeficiency Virus, Human T Lymphotropic Virus Type III, Human immunodeficiency virus (organism), AIDS virus, Human T Cell Leukemia Virus Type III, Human immunodeficiency virus (HIV), HIV, htlv iii	T005	Virus	1.0
