InputID	InputText	Entity	EntityType	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.Synonyms	UMLS.Score	Document
vpAmwa8LKx	A Pediatrician ’ s guide to climate Change-Informed primary care Rebecca pass Philipsborn, Md, Mpa, Ajulia Cowenhoven, Md, Baparna Bole, Md, C Sophie J balk, Md, Dand Aaron Bernstein, Md, Mphe, * despite the urgency of the climate crisis and mounting evidence linking climate change to child health Harms, Pediatricians do not routinely engage with climate change in the Ofﬁce . Each primary care visit offers opportunities to screen for and support children burdened with risks to health that are increasingly intense due to climate change . routine promotion of healthy behaviors also Aligns with some needed —And Powerful—Solutions to the climate crisis . for some patients, including those engaged in athletics, those with asthma and allergies, or those with complex Healthcare needs, Prepared-	children	ORGANISM	C0008059	Child	A person 6 to 12 years of age. An individual 2 to 5 years old is CHILD, PRESCHOOL.	T100	Age Group	Childhood age person (person), Children, CHILD, Children (0-21), Childhood age person, Child, NOS, children, child, Child Youth, 0-11 years old, Child (person), Child	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
vpAmwa8LKx	A Pediatrician ’ s guide to climate Change-Informed primary care Rebecca pass Philipsborn, Md, Mpa, Ajulia Cowenhoven, Md, Baparna Bole, Md, C Sophie J balk, Md, Dand Aaron Bernstein, Md, Mphe, * despite the urgency of the climate crisis and mounting evidence linking climate change to child health Harms, Pediatricians do not routinely engage with climate change in the Ofﬁce . Each primary care visit offers opportunities to screen for and support children burdened with risks to health that are increasingly intense due to climate change . routine promotion of healthy behaviors also Aligns with some needed —And Powerful—Solutions to the climate crisis . for some patients, including those engaged in athletics, those with asthma and allergies, or those with complex Healthcare needs, Prepared-	patients	ORGANISM	C0030705	Patients	Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.	T101	Patient or Disabled Group	patients, patient, Patient, Patient (person), *^patient, ^Patient, Patients	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
R7GrsNFQb2	Ness for environmental risks and disasters worsened by Cli-Mate change is a critical component of disease Preventionand management . for all patients, anticipatory guidance topics that are already mainstays of Pediatric best practices are related closely to needed guidance to keep children safe and promote health in the setting of compounding risks due Toclimate change . by considering climate change in routine care, Pediatricians will be updating practice to align with Evidence-Based literature and better serving patients . This Articleprovides a framework for Pediatricians to provide Climate-Informed primary care during t he structure of Pediatric well child and other visits . Curr probl Pediatr Adolesc health care 2021; 51:101027 in the course of daily practice, Pediatricians are	Cli-Mate	SIMPLE_CHEMICAL								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
R7GrsNFQb2	Ness for environmental risks and disasters worsened by Cli-Mate change is a critical component of disease Preventionand management . for all patients, anticipatory guidance topics that are already mainstays of Pediatric best practices are related closely to needed guidance to keep children safe and promote health in the setting of compounding risks due Toclimate change . by considering climate change in routine care, Pediatricians will be updating practice to align with Evidence-Based literature and better serving patients . This Articleprovides a framework for Pediatricians to provide Climate-Informed primary care during t he structure of Pediatric well child and other visits . Curr probl Pediatr Adolesc health care 2021; 51:101027 in the course of daily practice, Pediatricians are	disease	CANCER	C0012634	Disease	A definite pathologic process with a characteristic set of signs and symptoms. It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.	T047	Disease or Syndrome	Disease or Disorder, Disorder, disorder, Disease or syndrome present, Clinical disease AND/OR syndrome present, Disorder, NOS, Clinical disease or syndrome present, Disease, NOS, Clinical disease or syndrome present, NOS, disorders, Disease or syndrome present, NOS, Clinical disease or syndrome, NOS, disease, disease/disorder, Disorders, Clinical disease AND/OR syndrome, Disease AND/OR syndrome present, Diseases and Disorders, Diseases, Disease, diseases, Disease (disorder), Clinical disease or syndrome	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
R7GrsNFQb2	Ness for environmental risks and disasters worsened by Cli-Mate change is a critical component of disease Preventionand management . for all patients, anticipatory guidance topics that are already mainstays of Pediatric best practices are related closely to needed guidance to keep children safe and promote health in the setting of compounding risks due Toclimate change . by considering climate change in routine care, Pediatricians will be updating practice to align with Evidence-Based literature and better serving patients . This Articleprovides a framework for Pediatricians to provide Climate-Informed primary care during t he structure of Pediatric well child and other visits . Curr probl Pediatr Adolesc health care 2021; 51:101027 in the course of daily practice, Pediatricians are	patients	ORGANISM	C0030705	Patients	Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.	T101	Patient or Disabled Group	patients, patient, Patient, Patient (person), *^patient, ^Patient, Patients	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
R7GrsNFQb2	Ness for environmental risks and disasters worsened by Cli-Mate change is a critical component of disease Preventionand management . for all patients, anticipatory guidance topics that are already mainstays of Pediatric best practices are related closely to needed guidance to keep children safe and promote health in the setting of compounding risks due Toclimate change . by considering climate change in routine care, Pediatricians will be updating practice to align with Evidence-Based literature and better serving patients . This Articleprovides a framework for Pediatricians to provide Climate-Informed primary care during t he structure of Pediatric well child and other visits . Curr probl Pediatr Adolesc health care 2021; 51:101027 in the course of daily practice, Pediatricians are	children	ORGANISM	C0008059	Child	A person 6 to 12 years of age. An individual 2 to 5 years old is CHILD, PRESCHOOL.	T100	Age Group	Childhood age person (person), Children, CHILD, Children (0-21), Childhood age person, Child, NOS, children, child, Child Youth, 0-11 years old, Child (person), Child	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
R7GrsNFQb2	Ness for environmental risks and disasters worsened by Cli-Mate change is a critical component of disease Preventionand management . for all patients, anticipatory guidance topics that are already mainstays of Pediatric best practices are related closely to needed guidance to keep children safe and promote health in the setting of compounding risks due Toclimate change . by considering climate change in routine care, Pediatricians will be updating practice to align with Evidence-Based literature and better serving patients . This Articleprovides a framework for Pediatricians to provide Climate-Informed primary care during t he structure of Pediatric well child and other visits . Curr probl Pediatr Adolesc health care 2021; 51:101027 in the course of daily practice, Pediatricians are	patients	ORGANISM	C0030705	Patients	Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.	T101	Patient or Disabled Group	patients, patient, Patient, Patient (person), *^patient, ^Patient, Patients	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
fKZeJyZxuQ	Well-Poised to reduce Harms to our patients and to promote health equity Inresponding to the climate crisis . The climate crisis poses risks to the health and well-being of every child . 1,2Those children already burdened by structural racism and poverty are at greater risk of worse health Outcomes.3,4Climateaction—Reducing greenhouse gas emissions and preparing for climate Change—Supports optimal child health, growth, and development, now and in Thefuture, and is closely linked with racial justice . 5However, conversations about climate change and child health are neither part of Standard Pediatric practice nor occurring with the frequency demanded by the climate crisis . Though trusted health educators and advocates for children, Pediatricians may feel a Disconnect between	patients	ORGANISM	C0030705	Patients	Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.	T101	Patient or Disabled Group	patients, patient, Patient, Patient (person), *^patient, ^Patient, Patients	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
fKZeJyZxuQ	Well-Poised to reduce Harms to our patients and to promote health equity Inresponding to the climate crisis . The climate crisis poses risks to the health and well-being of every child . 1,2Those children already burdened by structural racism and poverty are at greater risk of worse health Outcomes.3,4Climateaction—Reducing greenhouse gas emissions and preparing for climate Change—Supports optimal child health, growth, and development, now and in Thefuture, and is closely linked with racial justice . 5However, conversations about climate change and child health are neither part of Standard Pediatric practice nor occurring with the frequency demanded by the climate crisis . Though trusted health educators and advocates for children, Pediatricians may feel a Disconnect between	children	ORGANISM	C0008059	Child	A person 6 to 12 years of age. An individual 2 to 5 years old is CHILD, PRESCHOOL.	T100	Age Group	Childhood age person (person), Children, CHILD, Children (0-21), Childhood age person, Child, NOS, children, child, Child Youth, 0-11 years old, Child (person), Child	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
fKZeJyZxuQ	Well-Poised to reduce Harms to our patients and to promote health equity Inresponding to the climate crisis . The climate crisis poses risks to the health and well-being of every child . 1,2Those children already burdened by structural racism and poverty are at greater risk of worse health Outcomes.3,4Climateaction—Reducing greenhouse gas emissions and preparing for climate Change—Supports optimal child health, growth, and development, now and in Thefuture, and is closely linked with racial justice . 5However, conversations about climate change and child health are neither part of Standard Pediatric practice nor occurring with the frequency demanded by the climate crisis . Though trusted health educators and advocates for children, Pediatricians may feel a Disconnect between	children	ORGANISM	C0008059	Child	A person 6 to 12 years of age. An individual 2 to 5 years old is CHILD, PRESCHOOL.	T100	Age Group	Childhood age person (person), Children, CHILD, Children (0-21), Childhood age person, Child, NOS, children, child, Child Youth, 0-11 years old, Child (person), Child	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
